"","CO_UF","NO_UF","SGL_UF","CO_MESORREGIAO","DS_MESORREGIAO","CO_MICRORREGIAO","DS_MICRORREGIAO","CO_MUNICIPIO_P","CO_MUNICIPIO","NOME_MUNICIPIO.x","LATITUDE","LONGITUDE","NOME_MUNICIPIO.y","QTD"
"140","35","São Paulo","SP","06","Piracicaba","027","Limeira","12407",3512407,"Cordeirópolis","-22.4778","-47.4519","Cordeirópolis",9
"141","35","São Paulo","SP","03","Araçatuba","018","Birigui","12506",3512506,"Coroados","-21.3521","-50.2859","Coroados",1
"142","35","São Paulo","SP","11","Itapetininga","041","Itapeva","12605",3512605,"Coronel Macedo","-23.6261","-49.31","Coronel Macedo",2
"143","35","São Paulo","SP","06","Piracicaba","026","Rio Claro","12704",3512704,"Corumbataí","-22.2213","-47.6215","Corumbataí",7
"144","35","São Paulo","SP","07","Campinas","032","Campinas","12803",3512803,"Cosmópolis","-22.6419","-47.1926",,
"145","35","São Paulo","SP","01","São José do Rio Preto","003","Votuporanga","12902",3512902,"Cosmorama","-20.4755","-49.7827",,
"146","35","São Paulo","SP","15","Metropolitana de São Paulo","060","Itapecerica da Serra","13009",3513009,"Cotia","-23.6022","-46.919",,
"147","35","São Paulo","SP","02","Ribeirão Preto","014","Ribeirão Preto","13108",3513108,"Cravinhos","-21.338","-47.7324",,
"148","35","São Paulo","SP","02","Ribeirão Preto","012","Franca","13207",3513207,"Cristais Paulista","-20.4036","-47.4209",,
"149","35","São Paulo","SP","10","Assis","039","Assis","13306",3513306,"Cruzália","-22.7373","-50.7909","Cruzália",1
"150","35","São Paulo","SP","13","Vale do Paraíba Paulista","051","Guaratinguetá","13405",3513405,"Cruzeiro","-22.5728","-44.969","Cruzeiro",2
"151","35","São Paulo","SP","15","Metropolitana de São Paulo","063","Santos","13504",3513504,"Cubatão","-23.8911","-46.424",,
"152","35","São Paulo","SP","13","Vale do Paraíba Paulista","053","Paraibuna/Paraitinga","13603",3513603,"Cunha","-23.0731","-44.9576","Cunha",1
"153","35","São Paulo","SP","05","Araraquara","025","São Carlos","13702",3513702,"Descalvado","-21.9002","-47.6181",,
"154","35","São Paulo","SP","15","Metropolitana de São Paulo","061","São Paulo","13801",3513801,"Diadema","-23.6813","-46.6205","Diadema",1
"155","35","São Paulo","SP","01","São José do Rio Preto","001","Jales","13850",3513850,"Dirce Reis","-20.4642","-50.6073",,
"156","35","São Paulo","SP","07","Campinas","030","São João da Boa Vista","13900",3513900,"Divinolândia","-21.6637","-46.7361",,
"157","35","São Paulo","SP","05","Araraquara","024","Araraquara","14007",3514007,"Dobrada","-21.5155","-48.3935",,
"158","35","São Paulo","SP","04","Bauru","021","Jaú","14106",3514106,"Dois Córregos","-22.3673","-48.3819",,
"159","35","São Paulo","SP","01","São José do Rio Preto","001","Jales","14205",3514205,"Dolcinópolis","-20.124","-50.5149",,
"160","35","São Paulo","SP","05","Araraquara","025","São Carlos","14304",3514304,"Dourado","-22.1044","-48.3178",,
"161","35","São Paulo","SP","08","Presidente Prudente","034","Dracena","14403",3514403,"Dracena","-21.4843","-51.535",,
"162","35","São Paulo","SP","04","Bauru","020","Bauru","14502",3514502,"Duartina","-22.4146","-49.4084",,
"163","35","São Paulo","SP","02","Ribeirão Preto","014","Ribeirão Preto","14601",3514601,"Dumont","-21.2324","-47.9756",,
"164","35","São Paulo","SP","09","Marília","038","Marília","14700",3514700,"Echaporã","-22.4326","-50.2038",,
"165","35","São Paulo","SP","14","Litoral Sul Paulista","055","Registro","14809",3514809,"Eldorado","-24.5281","-48.1141",,
"166","35","São Paulo","SP","07","Campinas","032","Campinas","14908",3514908,"Elias Fausto","-23.0428","-47.3682","Elias Fausto",6
"167","35","São Paulo","SP","01","São José do Rio Preto","005","Catanduva","14924",3514924,"Elisiário","-21.1678","-49.1146",,
"168","35","São Paulo","SP","01","São José do Rio Preto","005","Catanduva","14957",3514957,"Embaúba","-20.9796","-48.8325",,
"169","35","São Paulo","SP","15","Metropolitana de São Paulo","060","Itapecerica da Serra","15004",3515004,"Embu das Artes","-23.6437","-46.8579",,
"170","35","São Paulo","SP","15","Metropolitana de São Paulo","060","Itapecerica da Serra","15103",3515103,"Embu-Guaçu","-23.8297","-46.8136","Embu-Guaçu",1
"171","35","São Paulo","SP","08","Presidente Prudente","036","Presidente Prudente","15129",3515129,"Emilianópolis","-21.8314","-51.4832",,
"172","35","São Paulo","SP","07","Campinas","031","Mogi Mirim","15152",3515152,"Engenheiro Coelho","-22.4836","-47.211",,
"173","35","São Paulo","SP","07","Campinas","030","São João da Boa Vista","15186",3515186,"Espírito Santo do Pinhal","-22.1909","-46.7477","Espírito Santo do Pinhal",2
"174","35","São Paulo","SP","10","Assis","040","Ourinhos","15194",3515194,"Espírito Santo do Turvo","-22.6925","-49.4341",,
"175","35","São Paulo","SP","07","Campinas","031","Mogi Mirim","57303",3557303,"Estiva Gerbi","-22.2713","-46.9481","Estiva Gerbi",1
"176","35","São Paulo","SP","08","Presidente Prudente","036","Presidente Prudente","15301",3515301,"Estrela do Norte","-22.4859","-51.6632",,
"177","35","São Paulo","SP","01","São José do Rio Preto","002","Fernandópolis","15202",3515202,"Estrela d'Oeste","-20.2875","-50.4049",,
"178","35","São Paulo","SP","08","Presidente Prudente","036","Presidente Prudente","15350",3515350,"Euclides da Cunha Paulista","-22.5545","-52.5928",,
"179","35","São Paulo","SP","10","Assis","040","Ourinhos","15400",3515400,"Fartura","-23.3916","-49.5124","Fartura",8
"180","35","São Paulo","SP","02","Ribeirão Preto","013","Jaboticabal","15608",3515608,"Fernando Prestes","-21.2661","-48.6874",,
"181","35","São Paulo","SP","01","São José do Rio Preto","002","Fernandópolis","15509",3515509,"Fernandópolis","-20.2806","-50.2471",,
"182","35","São Paulo","SP","09","Marília","038","Marília","15657",3515657,"Fernão","-22.3607","-49.5187","Fernão",1
"183","35","São Paulo","SP","15","Metropolitana de São Paulo","062","Mogi das Cruzes","15707",3515707,"Ferraz de Vasconcelos","-23.5411","-46.371",,
"184","35","São Paulo","SP","08","Presidente Prudente","035","Adamantina","15806",3515806,"Flora Rica","-21.6727","-51.3821",,
"185","35","São Paulo","SP","01","São José do Rio Preto","006","Auriflama","15905",3515905,"Floreal","-20.6752","-50.1513",,
"186","35","São Paulo","SP","08","Presidente Prudente","035","Adamantina","16002",3516002,"Flórida Paulista","-21.6127","-51.1724",,
"187","35","São Paulo","SP","10","Assis","039","Assis","16101",3516101,"Florínea","-22.868","-50.6814",,
"188","35","São Paulo","SP","02","Ribeirão Preto","012","Franca","16200",3516200,"Franca","-20.5352","-47.4039",,
"189","35","São Paulo","SP","15","Metropolitana de São Paulo","058","Franco da Rocha","16309",3516309,"Francisco Morato","-23.2792","-46.7448",,
"190","35","São Paulo","SP","15","Metropolitana de São Paulo","058","Franco da Rocha","16408",3516408,"Franco da Rocha","-23.3229","-46.729",,
"191","35","São Paulo","SP","03","Araçatuba","018","Birigui","16507",3516507,"Gabriel Monteiro","-21.5294","-50.5573",,
"192","35","São Paulo","SP","09","Marília","038","Marília","16606",3516606,"Gália","-22.2918","-49.5504","Gália",1
"193","35","São Paulo","SP","09","Marília","038","Marília","16705",3516705,"Garça","-22.2125","-49.6546",,
"194","35","São Paulo","SP","01","São José do Rio Preto","006","Auriflama","16804",3516804,"Gastão Vidigal","-20.7948","-50.1912",,
"195","35","São Paulo","SP","05","Araraquara","024","Araraquara","16853",3516853,"Gavião Peixoto","-21.8367","-48.4957",,
"196","35","São Paulo","SP","01","São José do Rio Preto","006","Auriflama","16903",3516903,"General Salgado","-20.6485","-50.364",,
"197","35","São Paulo","SP","04","Bauru","019","Lins","17000",3517000,"Getulina","-21.7961","-49.9312",,
"198","35","São Paulo","SP","03","Araçatuba","018","Birigui","17109",3517109,"Glicério","-21.3812","-50.2123","Glicério",12
"199","35","São Paulo","SP","04","Bauru","019","Lins","17208",3517208,"Guaiçara","-21.6195","-49.8013",,
"200","35","São Paulo","SP","04","Bauru","019","Lins","17307",3517307,"Guaimbê","-21.9091","-49.8986",,
"201","35","São Paulo","SP","02","Ribeirão Preto","010","São Joaquim da Barra","17406",3517406,"Guaíra","-20.3196","-48.312",,
"202","35","São Paulo","SP","01","São José do Rio Preto","004","São José do Rio Preto","17505",3517505,"Guapiaçu","-20.7959","-49.2172",,
"203","35","São Paulo","SP","11","Itapetininga","044","Capão Bonito","17604",3517604,"Guapiara","-24.1892","-48.5295",,
"204","35","São Paulo","SP","02","Ribeirão Preto","011","Ituverava","17703",3517703,"Guará","-20.4302","-47.8236",,
"205","35","São Paulo","SP","03","Araçatuba","016","Andradina","17802",3517802,"Guaraçaí","-21.0292","-51.2119",,
"206","35","São Paulo","SP","01","São José do Rio Preto","004","São José do Rio Preto","17901",3517901,"Guaraci","-20.4977","-48.9391",,
"207","35","São Paulo","SP","01","São José do Rio Preto","002","Fernandópolis","18008",3518008,"Guarani d'Oeste","-20.0746","-50.3411",,
"208","35","São Paulo","SP","04","Bauru","020","Bauru","18107",3518107,"Guarantã","-21.8942","-49.5914",,
"209","35","São Paulo","SP","03","Araçatuba","017","Araçatuba","18206",3518206,"Guararapes","-21.2544","-50.6453","Guararapes",1
"210","35","São Paulo","SP","15","Metropolitana de São Paulo","062","Mogi das Cruzes","18305",3518305,"Guararema","-23.4112","-46.0369","Guararema",1
"211","35","São Paulo","SP","13","Vale do Paraíba Paulista","051","Guaratinguetá","18404",3518404,"Guaratinguetá","-22.8075","-45.1938","Guaratinguetá",5
"212","35","São Paulo","SP","11","Itapetininga","042","Itapetininga","18503",3518503,"Guareí","-23.3714","-48.1837",,
"213","35","São Paulo","SP","02","Ribeirão Preto","013","Jaboticabal","18602",3518602,"Guariba","-21.3594","-48.2316",,
"214","35","São Paulo","SP","15","Metropolitana de São Paulo","063","Santos","18701",3518701,"Guarujá","-23.9888","-46.258","Guarujá",1
"215","35","São Paulo","SP","15","Metropolitana de São Paulo","059","Guarulhos","18800",3518800,"Guarulhos","-23.4538","-46.5333","Guarulhos",1
